Id,Source language,Source text - Questions,Bosnian translation - Questions,Source Text - Answers,Bosnian translation - Answers,Category,Intent
42,English,When is the next bus to..?,Kada je sledeći autobus za ...?,Depends on location; consult local timetables.,Sledeći autobus za Mostar polazi u 17:00.,Transportation,ask_bus
43,English,How long does it take to go to Mostar by train?,Koliko traje putovanje do ... vozom?,Sarajevo to Mostar: ~3 hours.,Putovanje vozom do Mostara traje oko 2.5 sata.,Transportation,ask_train
44,English,Where is the main train station in Sarajevo?,Gdje se nalazi glavni željeznički kolodvor u Sarajevu?,"Put života 2, near the city center.",Glavni željeznički kolodvor u Sarajevu se nalazi u centru grada.,Transportation,ask_train
45,English,Can I book train tickets online?,Mogu li rezervisati vozne karte online?,Online booking is available for some routes; check the ŽFBH (Railways of the Federation of Bosnia and Herzegovina) website.,"Vozne karte možete rezervisati online putem stranica kao što je ""Željeznice BiH"".",Transportation,ask_train
46,English,Is the train cheaper than the bus for traveling to Mostar?,Da li je voz jeftiniji od autobusa za putovanje do Mostara?,"Yes, trains are often cheaper and offer scenic views.",Voz je obično jeftiniji od autobusa.,Transportation,ask_train
47,English,Where can I rent a car near the airport?,Gdje mogu iznajmiti auto blizu aerodroma?,"Car rental services are available at Sarajevo International Airport, including Europcar, Sixt, and Avis.","Iznajmite auto u agencijama poput ""Europcar"" na sarajevskom aerodromu.",Transportation,ask_car_rental
48,English,How much does it cost to rent a car for a day?,Koliko košta iznajmljivanje automobila na jedan dan?,"Prices range from 50 to 100 BAM, depending on the type of car.",Iznajmljivanje automobila košta oko 50 BAM po danu.,Transportation,ask_car_rental
49,English,Are there direct flights from Sarajevo?,Ima li direktnih letova iz Sarajeva za ...?,Sarajevo has direct flights to major European cities; check with airlines.,"Da, postoje direktni letovi iz Sarajeva za Beograd i druge gradove.",Transportation,ask_flights
50,English,What’s the cheapest airline flying to Bosnia and Herzegovina?,Koja je najjeftinija aviokompanija koja leti za Bosnu i Hercegovinu?,Low-cost carriers like Wizz Air often provide affordable options.,"Najjeftinija aviokompanija za Bosnu je ""Wizz Air"".",Transportation,ask_flights
51,English,Are there domestic flights between major cities in Bosnia?,Da li postoje domaći letovi između većih gradova u Bosni?,"No, domestic flights are uncommon due to the country's small size.","Da, postoje domaći letovi između Sarajeva, Banja Luke i Tuzle.",Transportation,ask_flights
52,English,Is there an airport in Mostar?,Da li postoji aerodrom u Mostaru?,"Yes, Mostar International Airport, but it primarily handles seasonal flights.","Da, Mostar ima mali aerodrom za domaće i međunarodne letove.",Transportation,ask_flights
53,English,How do I get to the nearest bus station?,Kako da dođem do najbliže autobuske stanice?,Most cities have local buses or taxis to the main bus station.,Najbliža autobuska stanica je udaljena 10 minuta hoda odavde.,Transportation,ask_directions
54,English,Can you show me the way to the nearest bus station?,Možete li mi pokazati put do najbliže autobuske stanice?,Directions depend on your location; ask locals or use Google Maps.,"Slijedite ovu ulicu, skrenite desno, i stanica će biti s lijeve strane.",Transportation,ask_directions
55,English,Which road should I take to drive to Trebinje?,Koji put treba uzeti da stignem do Trebinja?,Take the E73/M20 route via Mostar.,"Da biste stigli do Trebinja, pratite glavnu cestu E73.",Transportation,ask_directions
56,English,How far is the city center from Ilidza?,Koliko je udaljen centar grada od Ilidže?,"About 10–12 km, roughly a 20-minute drive.",Put od Ilidže do centra traje oko 20 minuta autom.,Transportation,ask_directions
57,English,Can I bike to the Old Bridge in Mostar?,Mogu li biciklom doći do Starog mosta u Mostaru?,"Yes, but ensure you are prepared for uneven terrain and traffic.","Da, Mostar je dovoljno blizu za biciklizam, ali pazite na promet.",Transportation,ask_directions
58,English,What’s the fastest route to Sutjeska National Park?,Koji je najbrži put do Nacionalnog parka Sutjeska?,"From Sarajevo, take the M18 road southwards.",Uzmite M20 za brz put do Sutjeske.,Transportation,ask_directions
59,English,Where can I buy tickets for the tram in Sarajevo?,Gdje mogu kupiti kartu za tramvaj u Sarajevu?,At kiosks near tram stops or directly from the conductor.,Tramvajska karta može se kupiti u kioscima ili u trgovinama.,Transportation,ask_tickets
60,English,Are there discounts on train tickets for students?,Da li postoje popusti na vozne karte za studente?,"Yes, student discounts are available with a valid ID.","Da, studenti imaju popust na vozne karte.",Transportation,ask_directions
61,English,Do I need to validate my bus ticket before boarding?,Moram li da validiram svoju autobusku kartu prije nego što uđem u autobus?,"Yes, especially for local buses and trams.","Da, karte se validiraju prije ulaska u autobus.",Transportation,ask_directions
62,English,How much is a one-way ticket to Mostar by train?,Koliko košta jednodnevna karta za voz do Mostara?,"Around 11 BAM for adults, 7 BAM for children.",Cijena karte do Mostara je oko 12 BAM.,Transportation,ask_directions
63,English,Can I purchase transportation tickets online?,Mogu li kupiti karte za prevoz online?,"Yes, for intercity buses and some trains.","Da, možete kupiti karte online.",Transportation,ask_directions
64,English,Are tickets refundable if I miss the bus?,Da li se karte refundiraju ako propustim autobus?,"Usually not, but refund policies vary; check with the ticket provider.","Povrat novca je moguć, ali zavisi od kompanije.",Transportation,ask_directions
65,English,Are there metro services in Bosnia and Herzegovina?,Ima li metro usluga u Bosni i Hercegovini?,"No, Bosnia does not have metro systems.",Bosna nema metro sistem.,Transportation,ask_public_transport
66,English,Is there a public transport pass for tourists?,Da li postoji javna prevozna karta za turiste?,"Some cities, like Sarajevo, offer multi-day passes for trams and buses.","Da, postoje dnevne ili sedmične karte za turiste.",Transportation,ask_public_transport
67,English,How crowded does public transportation get during peak hours?,Koliko je pun javni prevoz u vrijeme špica?,"It can be quite crowded, especially in Sarajevo.","Javni prevoz je prepun u špicu, pa budite spremni na gužve.",Transportation,ask_public_transport
68,English,Where can I find parking near Baščaršija?,Gdje mogu parkirati u blizini Baščaršije?,"Look for parking lots on the outskirts, like the one at Vijećnica.",U blizini Baščaršije ima nekoliko plaćenih parkinga.,Transportation,ask_parking
69,English,Is parking free on weekends in Sarajevo?,Da li je parkiranje besplatno vikendom u Sarajevu?,Some areas offer free parking on Sundays; check signage.,"Parkiranje je uglavnom plaćeno, i vikendom.",Transportation,ask_parking
70,English,Are there secure parking garages in Mostar?,Da li postoje sigurna parkirališta u Mostaru?,"Yes, especially near the city center.",Mostar ima nekoliko sigurno parkiranih mjesta.,Transportation,ask_parking
71,English,Where can I park in Konjic?,Gdje mogu parkirati u Konjicu?,Use public parking areas near the Old Stone Bridge.,Parkiranje u Konjicu je besplatno u centru grada.,Transportation,ask_parking
72,English,Can I park my car overnight at the train station?,Mogu li parkirati svoj automobil preko noći na željezničkoj stanici?,"Yes, most stations have overnight parking options.",Većina željezničkih stanica nudi parking za posjetitelje.,Transportation,ask_parking
73,English,How much does it cost to park in the city center?,Koliko košta parkiranje u centru grada?,"Prices range from 2–5 BAM per hour, depending on the location.",Parkiranje u centru grada je 1-2 BAM po satu.,Transportation,ask_parking
74,English,Are there EV charging stations in parking lots here?,Da li postoje EV punionice u parkirnim prostorima ovdje?,"Yes, major cities like Sarajevo and Mostar have EV charging stations.",Neke parking lokacije imaju punionice za električne automobile.,Transportation,ask_parking
75,English,Is street parking allowed near the Old Town?,Da li je parkiranje na ulici dozvoljeno u blizini Starog grada?,"Limited, but there are designated spots; always check signs.",Parkiranje u Starom gradu obično je plaćeno.,Transportation,ask_parking
76,English,Is there any room available at a hotel in Sarajevo this weekend?,Ima li slobodnih soba u hotelu u Sarajevu ovaj vikend?,"Yes, there are rooms available at Hotel Europe and Radon Plaza for this weekend.","Da, dostupne su sobe u Hotelu Europe i Radon Plaza za ovaj vikend.",Accommodation,ask_hotel_availability
77,English,Do you have a free room for two people in Mostar next week?,Imate li slobodnu sobu za dvije osobe u Mostaru sljedeće sedmice?,"Yes, Mepas Hotel and Hotel Mostar have rooms available for two people next week.","Da, Mepas Hotel i Hotel Mostar imaju sobe dostupne za dvije osobe sljedeće sedmice.",Accommodation,ask_hotel_availability
78,English,Can I book a room for tonight in Banja Luka?,Mogu li rezervirati sobu za večeras u Banja Luci?,"Yes, there are rooms available at Hotel Bosna and Hotel Zepter for tonight.","Da, dostupne su sobe u Hotelu Bosna i Hotelu Zepter za večeras.",Accommodation,ask_hotel_availability
79,English,Are there any available rooms with a sea view in Neum?,Ima li slobodnih soba s pogledom na more u Neumu?,"Yes, Hotel Sunce and Neum Hotel offer rooms with sea views.","Da, Hotel Sunce i Neum Hotel nude sobe s pogledom na more.",Accommodation,ask_hotel_availability
80,English,Is the hotel in Zenica fully booked for the holidays?,Je li hotel u Zenici potpuno popunjen za praznike?,"Some hotels in Zenica, like Hotel Dubrovnik, may be fully booked during the holidays, but I can check availability for you.","Neka od hotela u Zenici, kao što je Hotel Dubrovnik, mogu biti potpuno rezervisana za praznike, ali mogu provjeriti dostupnost za vas.",Accommodation,ask_hotel_availability
81,English,How much does a standard room cost at a hotel in Sarajevo?,Koliko košta standardna soba u hotelu u Sarajevu?,A standard room in Hotel Europe in Sarajevo costs around $100–$150 per night.,Standardna soba u Hotelu Europe u Sarajevu košta oko 100–150 USD po noći.,Accommodation,ask_hotel_pricing
82,English,What are the prices for a double room in Mostar during summer?,Koje su cijene za dvokrevetnu sobu u Mostaru tokom ljeta?,Double rooms in Mepas Hotel and Hotel Mostar range from $80 to $120 per night during summer.,Cijene dvokrevetnih soba u Mepas Hotelu i Hotelu Mostar tokom ljeta kreću se od 80 do 120 USD po noći.,Accommodation,ask_hotel_pricing
83,English,How much is a hotel room with breakfast included in Banja Luka?,Koliko košta hotelska soba s uključenim doručkom u Banja Luci?,A hotel room with breakfast included in Banja Luka ranges from $90 to $130 per night at Hotel Bosna and Hotel Zepter.,Cijena hotelske sobe s doručkom uključenim u Banja Luci kreće se od 90 do 130 USD po noći u Hotelu Bosna i Hotelu Zepter.,Accommodation,ask_hotel_pricing
84,English,What is the price range for luxury hotels in Sarajevo?,Koji je cjenovni razred za luksuzne hotele u Sarajevu?,"Luxury hotels in Sarajevo, like Hotel Europe and Radon Plaza, range from $150 to $250 per night.","Luksuzni hoteli u Sarajevu, poput Hotel Europe i Radon Plaza, imaju cijene od 150 do 250 USD po noći.",Accommodation,ask_hotel_pricing
85,English,Can you tell me the cost of a one-night stay in a hotel near the Old Bridge in Mostar?,Možete li mi reći cijenu boravka na jednu noć u hotelu blizu Starog mosta u Mostaru?,A one-night stay near the Old Bridge in Mostar at Hotel Mostar costs around $100–$120.,Jednodnevni boravak u hotelu blizu Starog Mosta u Mostaru u Hotelu Mostar košta oko 100–120 USD.,Accommodation,ask_hotel_pricing
86,English,Does the hotel in Sarajevo have a fitness center?,Ima li hotel u Sarajevu fitness centar?,"Yes, Hotel Europe in Sarajevo has a fitness center.","Da, Hotel Europe u Sarajevu ima fitness centar.",Accommodation,ask_hotel_facilities
87,English,Are there hotels in Mostar with a rooftop terrace?,Ima li hotela u Mostaru s terasom na krovu?,"Yes, Hotel Mepas in Mostar has a rooftop terrace.","Da, Hotel Mepas u Mostaru ima terasu na krovu.",Accommodation,ask_hotel_facilities
88,English,Does the hotel offer free breakfast or just coffee?,Nudi li hotel besplatan doručak ili samo kafu?,"Some hotels offer free breakfast, while others may only offer coffee. Hotel Europe provides complimentary breakfast.","Neki hoteli nude besplatan doručak, dok drugi nude samo kafu. Hotel Europe nudi besplatan doručak.",Accommodation,ask_hotel_facilities
89,English,Are there hotels with room service available in Banja Luka?,Ima li hotela s uslugom u sobi u Banja Luci?,"Yes, Hotel Bosna and Hotel Zepter in Banja Luka offer room service.","Da, Hotel Bosna i Hotel Zepter u Banja Luci nude uslugu u sobi.",Accommodation,ask_hotel_facilities
90,English,Which hotels have a spa and wellness center in Sarajevo?,Koji hoteli imaju spa i wellness centar u Sarajevu?,Hotel Europe and Radon Plaza in Sarajevo have a spa and wellness center.,Hotel Europe i Radon Plaza u Sarajevu imaju spa i wellness centar.,Accommodation,ask_hotel_facilities
91,English,Which hotels are close to the airport in Sarajevo?,Koji hoteli su blizu aerodroma u Sarajevu?,Hotel Malta and Radon Plaza are close to Sarajevo International Airport.,Hotel Malta i Radon Plaza su blizu Sarajevskog međunarodnog aerodroma.,Accommodation,ask_hotel_location
92,English,Can you suggest hotels near the train station in Banja Luka?,Možete li preporučiti hotele blizu željezničke stanice u Banja Luci?,Hotel Bosna and Hotel Zepter are near the train station in Banja Luka.,Hotel Bosna i Hotel Zepter su blizu železničke stanice u Banja Luci.,Accommodation,ask_hotel_location
93,English,What are the best hotels near the city center of Mostar?,Koji su najbolji hoteli blizu centra grada u Mostaru?,The best hotels near the city center in Mostar are Hotel Mepas and Hotel Mostar.,Najbolji hoteli u blizini centra grada u Mostaru su Hotel Mepas i Hotel Mostar.,Accommodation,ask_hotel_location
94,English,Is there a hotel with a view of the river in Zenica?,Ima li hotel s pogledom na rijeku u Zenici?,Hotel Dubrovnik in Zenica offers rooms with views of the river.,Hotel Dubrovnik u Zenici nudi sobe s pogledom na rijeku.,Accommodation,ask_hotel_location
95,English,Are there any hotels near the Old Town in Sarajevo?,Ima li hotela blizu Starog grada u Sarajevu?,"Yes, Hotel Europe and Hotel Hecco are near the Old Town in Sarajevo.","Da, Hotel Europe i Hotel Hecco su blizu Starog grada u Sarajevu.",Accommodation,ask_hotel_location
96,English,What time is check-in at the hotel in Sarajevo?,U koliko sati je check-in u hotelu u Sarajevu?,"Check-in at most hotels in Sarajevo, including Hotel Europe, is from 2:00 PM.","Check-in u većini hotela u Sarajevu, uključujući Hotel Europe, je od 14:00 časova.",Accommodation,ask_hotel_check_in_out
97,English,Until when can I check out from a hotel in Mostar?,Do kada mogu izvršiti check-out iz hotela u Mostaru?,"In Mostar, check-out is typically until 12:00 PM, but late check-outs can be arranged.","U Mostaru, check-out je obično do 12:00 časova, ali kasni check-out može biti organizovan.",Accommodation,ask_hotel_check_in_out
98,English,Can I do a late check-out in a hotel in Banja Luka?,Mogu li izvršiti kasni check-out u hotelu u Banja Luci?,"Yes, Hotel Bosna in Banja Luka offers late check-out upon request.","Da, Hotel Bosna u Banja Luci nudi kasni check-out na zahtjev.",Accommodation,ask_hotel_check_in_out
99,English,What’s the earliest check-in time at hotels in Sarajevo?,Koje je najranije vrijeme za check-in u hotelima u Sarajevu?,The earliest check-in time at hotels in Sarajevo is usually 2:00 PM.,Najranije vreme za check-in u hotelima u Sarajevu je obično 14:00 časova.,Accommodation,ask_hotel_check_in_out
100,English,Can I check-in after midnight in a hotel in Zenica?,Mogu li izvršiti check-in nakon ponoći u hotelu u Zenici?,"Yes, Hotel Dubrovnik in Zenica allows late check-ins after midnight.","Da, Hotel Dubrovnik u Zenici omogućava kasni check-in nakon ponoći.",Accommodation,ask_hotel_check_in_out
101,English,Does the hotel in Sarajevo offer an airport shuttle service?,Nudi li hotel u Sarajevu uslugu prijevoza do aerodroma?,"Yes, Hotel Europe in Sarajevo offers an airport shuttle service.","Da, Hotel Europe u Sarajevu nudi uslugu prevoza sa i na aerodrom.",Accommodation,ask_hotel_services
102,English,Are there laundry services available at the hotel in Mostar?,Ima li usluga pranja rublja u hotelu u Mostaru?,"Yes, Hotel Mepas in Mostar offers laundry services.","Da, Hotel Mepas u Mostaru nudi usluge pranja veša.",Accommodation,ask_hotel_services
103,English,Can I rent a car through the hotel in Banja Luka?,Mogu li iznajmiti automobil preko hotela u Banja Luci?,"Yes, you can rent a car through Hotel Bosna in Banja Luka.","Da, možete iznajmiti auto kroz Hotel Bosna u Banja Luci.",Accommodation,ask_hotel_services
104,English,Is there a concierge at the hotel in Sarajevo?,Ima li hotel u Sarajevu concierge uslugu?,"Yes, Hotel Europe in Sarajevo has a concierge service.","Da, Hotel Europe u Sarajevu ima uslugu konsijerža.",Accommodation,ask_hotel_services
105,English,Do the hotels in Sarajevo offer guided tours or sightseeing services?,Nude li hoteli u Sarajevu vođene ture ili usluge razgledanja?,"Yes, many hotels in Sarajevo offer guided tours or sightseeing services, such as Radon Plaza.","Da, mnogi hoteli u Sarajevu nude organizovane ture ili usluge razgledanja, kao što je Radon Plaza.",Accommodation,ask_hotel_services
106,English,Can you help me book a room at a hotel in Sarajevo?,Možete li mi pomoći da rezerviram sobu u hotelu u Sarajevu?,"Yes, I can help you book a room at Hotel Europe or Radon Plaza in Sarajevo.","Da, mogu vam pomoći da rezervišete sobu u Hotelu Europe ili Radon Plaza u Sarajevu.",Accommodation,ask_hotel_booking
107,English,"I want to book a family room for four in Mostar, can you assist?","Želim rezervirati porodičnu sobu za četiri osobe u Mostaru, možete li pomoći?","Yes, Hotel Mepas in Mostar offers family rooms.","Da, Hotel Mepas u Mostaru nudi porodične sobe.",Accommodation,ask_hotel_booking
108,English,How do I reserve a hotel room near the city center in Banja Luka?,Kako mogu rezervirati hotelsku sobu blizu centra grada u Banja Luci?,You can reserve a hotel room near the city center in Banja Luka at Hotel Bosna or Hotel Zepter.,Možete rezervisati sobu u hotelu blizu centra grada u Banja Luci u Hotelu Bosna ili Hotelu Zepter.,Accommodation,ask_hotel_booking
109,English,I’d like to book a room at the hotel by the river in Sarajevo for next weekend.,Želim rezervirati sobu u hotelu pored rijeke u Sarajevu za sljedeći vikend.,I can help you book a room at Hotel Europe in Sarajevo for next weekend.,Mogu vam pomoći da rezervišete sobu u Hotelu Europe u Sarajevu za naredni vikend.,Accommodation,ask_hotel_booking
110,English,Can I book a suite with a balcony in a hotel in Mostar?,Mogu li rezervirati suite s balkonom u hotelu u Mostaru?,"Yes, you can book a suite with a balcony at Hotel Mepas in Mostar.","Da, možete rezervisati apartman s balkonom u Hotelu Mepas u Mostaru.",Accommodation,ask_hotel_booking
111,English,What do people say about the hotel near the Old Bridge in Mostar?,Šta ljudi kažu o hotelu blizu Starog mosta u Mostaru?,Hotel Mostar near the Old Bridge is highly rated for its location and service.,Hotel Mostar blizu Starog Mosta je visoko ocijenjen zbog svoje lokacije i usluge.,Accommodation,ask_hotel_reviews
112,English,How are the reviews for hotels in Sarajevo on booking websites?,Kakve su recenzije hotela u Sarajevu na sajtovima za rezervacije?,Hotel Europe and Radon Plaza in Sarajevo have excellent reviews on booking websites.,Hotel Europe i Radon Plaza u Sarajevu imaju izvrsne recenzije na sajtovima za rezervacije.,Accommodation,ask_hotel_reviews
113,English,Can you recommend hotels in Banja Luka with good guest reviews?,Možete li preporučiti hotele u Banja Luci s dobrim recenzijama gostiju?,Hotel Bosna and Hotel Zepter in Banja Luka have great guest reviews.,Hotel Bosna i Hotel Zepter u Banja Luci imaju odlične recenzije gostiju.,Accommodation,ask_hotel_reviews
